auser_id,date,first_login,last_login,night_activity,file_access,usb_usage,top_urls,external_emails,risk_factor,threat_percentage,anomaly
ACC0042,2010-01-18,4,22,6,0.0,0.0,0,11.0,28.5,30.64516129032258,-1
ACC0042,2010-01-21,2,15,6,0.0,0.0,0,11.0,28.5,30.64516129032258,-1
ACC0042,2010-01-25,0,22,6,0.0,0.0,0,11.0,28.5,30.64516129032258,-1
ACC0042,2010-01-26,0,15,10,0.0,0.0,0,10.0,35.0,37.634408602150536,-1
ACC0042,2010-01-29,2,23,6,0.0,0.0,0,11.0,28.5,30.64516129032258,-1
ACC0042,2010-02-04,0,23,6,0.0,0.0,0,11.0,28.5,30.64516129032258,-1
ACC0042,2010-02-23,4,22,6,0.0,0.0,0,11.0,28.5,30.64516129032258,-1
AJF0370,2010-01-04,6,21,2,37.0,13.0,http://kohls.com/Remain_in_Light/jerden/yvprafrnterrzragfreireiveghnyznpuvar364291838.aspx | http://msn.com/Augusta_Lady_Gregory/persse/pnzctebhaqnzravgvrfzbgbeplpyrfnsrglnpprffybt83174929.htm,10.0,76.5,82.25806451612904,-1
AJF0370,2010-01-05,8,23,4,23.0,12.0,http://linkedin.com/Harry_Chauvel/chetwode/cebwrpg757315014.jsp | http://eonline.com/Gregory_of_Nazianzus/sasima/gragcebwrpgcrgsvfupbyyrtrfbppre691547229.htm,11.0,72.0,77.41935483870968,-1
AJF0370,2010-01-06,1,22,8,32.0,13.0,http://kohls.com/Remain_in_Light/jerden/yvprafrnterrzragfreireiveghnyznpuvar364291838.aspx | http://wunderground.com/Hydrogen/parahydrogen/vgnyvnapbbxvatcvnabibyyrlonyy1119472440.html,11.0,87.5,94.08602150537637,-1
AJF0370,2010-01-07,0,20,4,23.0,11.0,http://npr.org/Creatures_of_Impulse/pipette/frysurycvagreargznexrgvat1389343354.aspx | http://constantcontact.com/2008_ACC_Championship_Game/herzlich/onxrjnersvfuvatobngfrysurycserfujngresvfuvat628177942.aspx,11.0,69.0,74.19354838709677,-1
AJF0370,2010-01-08,4,16,2,26.0,10.0,0,11.0,63.5,68.27956989247312,-1
AJF0370,2010-01-09,3,16,2,22.0,10.0,0,11.0,61.5,66.12903225806451,-1
AJF0370,2010-01-11,5,16,2,30.0,10.0,0,11.0,65.5,70.43010752688173,-1
AJF0370,2010-01-12,1,22,8,36.0,13.0,0,10.0,88.0,94.6236559139785,-1
AJF0370,2010-01-13,3,23,4,50.0,14.0,0,11.0,91.5,98.38709677419357,-1
AJF0370,2010-01-14,1,21,4,26.0,14.0,0,10.0,78.0,83.87096774193549,-1
AJF0370,2010-01-15,6,16,0,19.0,10.0,0,11.0,56.0,60.215053763440864,-1
AJF0370,2010-01-17,8,22,2,28.0,13.0,0,10.0,72.0,77.41935483870968,-1
AJF0370,2010-01-18,8,23,2,25.0,13.0,0,11.0,72.0,77.41935483870968,-1
AJF0370,2010-01-19,2,16,2,29.0,9.0,0,10.0,60.5,65.05376344086021,-1
AJF0370,2010-01-20,8,23,2,31.0,11.0,0,10.0,67.5,72.58064516129032,-1
AJF0370,2010-01-21,0,19,4,30.0,13.0,0,11.0,78.5,84.40860215053763,-1
AJF0370,2010-01-22,8,16,0,29.0,10.0,0,9.0,58.0,62.365591397849464,-1
AJF0370,2010-01-25,0,19,2,23.0,10.0,0,11.0,62.0,66.66666666666666,-1
AJF0370,2010-01-26,3,23,8,37.0,12.0,0,10.0,85.5,91.93548387096774,-1
AJF0370,2010-01-27,2,22,6,35.0,13.0,0,11.0,85.0,91.39784946236558,-1
AJF0370,2010-01-28,6,20,0,24.0,11.0,0,11.0,61.5,66.12903225806451,-1
AJF0370,2010-01-29,3,23,8,37.0,14.0,0,11.0,93.0,100.0,-1
AJF0370,2010-02-01,8,23,4,29.0,12.0,0,11.0,75.0,80.64516129032258,-1
AJF0370,2010-02-02,0,22,4,15.0,11.0,0,11.0,65.0,69.89247311827957,-1
AJF0370,2010-02-03,2,20,3,42.0,14.0,0,10.0,84.0,90.32258064516128,-1
AJF0370,2010-02-04,1,21,6,26.0,11.0,0,11.0,74.5,80.10752688172043,-1
AJF0370,2010-02-05,3,22,4,32.0,11.0,0,11.0,73.5,79.03225806451613,-1
